ID,Herbal Image,Herbal Name,Scientific Name,Symptoms,Preparation,Precautions,Botany
1,,African Lily,Agaphantus Africanus,"Raditionally used for fever, cough, chest pain, and pregnancy-related discomfort in some cultures.",Roots or leaves are prepared as a decoction or infusion in traditional medicine.,"Use only with proper guidance. May cause skin irritation, and ingesting large amounts can be toxic.","Agapanthus africanus is an evergreen shrub with thick rhizomes. Stems are stout, bearing a tuft of long, narrow leaves. Leaves are basal, 2-ranked, linear-lanceolate, up to 50 centimeters long and 2-4 centimeters wide. Flower stalks are stout, erect, up 30 to 50 centimeters high. Flowers are in umbels, 12- to 30-flowered, usually bright blue-violet, crowded at the end of along stalk,"
2,,African Tulip Tree,Spathodea campanulata,"Traditionally used for wounds, skin infections, stomach pain, and fever.","Leaves or bark are commonly prepared as a decoction, while crushed leaves may be applied to affected areas.","Use with caution, as safety has not been fully established. Avoid excessive use and consult a healthcare professional before medicinal use.","Spathodea campanulata is a robust tree, growing to a height of 20 meters, with a dense, dark, shining, green crown. Leaves are pinnately compound, 20 to 25 centimeters long, divided into 5 to 8 pairs of leaflets. Leaflets are elliptic-oblong, 7.5 to 11 centimeters long, and 3.5 to 7 centimeters wide, with a pointed tip, and several glands along the midrib near the base. Flower bud is ampule-shaped and contains water. Flowers are large, bell-shaped, up to 10 centimeters long and 5 centimeters wide, borne in terminal, erect inflorescences (racemes), with a peculiar smell. Calyx is spathe-like, strongly curved, brownish, velvety-smooth, and split nearly to the base on one side."
3,,Agave,Agave americana,"Traditionally used for minor wounds, burns, skin irritation, and digestive discomfort.","Fresh leaf sap is applied externally, or the leaves are prepared as a decoction in traditional medicine.","Avoid applying fresh sap to sensitive skin, as it may cause irritation or allergic reactions. Do not consume raw plant parts in large amounts.","Agave is a tropical plant with about 300 species. The leaves are fibrous, growing upward from the ground forming a massive rosette. Both sides of the leaves are smooth, with prickly edges and a thorny tips. The plant produces a flower stalk in about ten years, and dies after the fruit ripens. The pineapple-shaped heart of the plant yields a sweet sticky juice, agave nectar."
4,,Air Potato,Dioscorea bulbifera,"Traditionally used for skin infections, boils, sore throat, and digestive problems.",Tubers are boiled or prepared as a decoction; crushed tubers may be applied externally.,Raw tubers may be toxic and should never be eaten without proper preparation. Use with caution and avoid excessive consumption.,"Ubi-ubihan is a climbing or twining, dioecious, smooth, unarmed vine reaching a length of several meters. Tubers are rounded, not larger than a man's fist. Stems are terete, bearing numerous little tubers. Leaves are simple, ovate, 7 to 14 centimeters long, with a broad and prominently heart-shaped base, broad and rounded sinus, rounded lobes, and 7- to 9-nerved. Spikes are slender, panicled, numerous, 8 to 10 centimeters long, and rather densely many-flowered. Flowers are about 3 millimeters long. Capsules are longer than broad. Seeds are winged at the base only."
5,,Alangium,Alangium salviifolium,"Traditionally used for fever, rheumatism, skin diseases, and snake bites.","Bark, roots, or leaves are prepared as a decoction or paste.","Use only under proper guidance, as excessive use may cause toxicity. Avoid use during pregnancy.","Alangium longiflorum is a mid-canopy tree up to 35 m tall and 72 cm dbh. Bark is smooth, usually dark brown. Twigs and leaves hairy. Stipules absent. Leaves alternate, simple, tripli-veined, base sometimes conspicuously oblique. Flowers white, ca. 20 mm in diameter, placed in small panicles in leaf axils, long and narrow petals curved downward, exposing stamens. Fruits are ellipsoid to ovoid, ca. 17 mm in length, red to blackish colored fleshy drupes."
6,,Alchorn Tree,Alchornea glandulosa,"Traditionally used for diarrhea, wounds, skin infections, and inflammation.","Leaves or bark are prepared as a decoction, or crushed leaves are applied to affected areas.","Use with caution, as excessive intake may cause unwanted effects. Consult a healthcare professional before medicinal use.","Shrubs or small trees, 1.5-5 m tall, dioecious. Branchlets pubescent when young, becoming glabrous. Stipules subulate, 5-7 mm; petiole 0.5-3 cm; leaf blade cuneate-obovate or elliptic to broadly lanceolate, 10-21 × 4-10 cm, thickly papery, base obtuse or slightly cordate, with 2 glands, stipels absent, margins serrulate, apex acuminate; venation pinnate, lateral veins 8-12 pairs. Inflorescence terminal, branched, 7-25 cm, puberulent or glabrous; bracts triangular, ca. 1.5 mm, base usually with 2 glands."
7,,Alfalfa,Medicago sativa,"Traditionally used for fatigue, poor appetite, digestive problems, and high cholesterol.","Leaves or sprouts are consumed fresh, dried as tea, or taken as a supplement.","Avoid excessive intake. People with autoimmune diseases, those taking blood thinners, or pregnant women should consult a healthcare professional before use.","Alfalfa is a herbaceous perennial with deeply penetrating taproot. Stems are procumbent, ascending to erect, arising from a woody base. Leaf is trifoliate, stipules triangular, 5 to 15 millimeters long, pubescent on the lower surface, glabrous on the upper surface, and joined at the base, coarsely toothed. Petiole is pubescent, 5 to 30 millimeters long. Leaflets are narrow, oblong to ovate or obovate, 8 to 28 millimeters by 3 to 15 millimeters, dentate near the apex. Inflorescence are in dense racemes, containing 10 to 35 flowers, on peduncles 1 to 5 centimeters long; pedicel 1.5 to 2 millimeters long; calyx 5-lobed and 3 to 6 millimeters long; corolla purple or blue, rarely white, with yellow cultivars."
8,,Alligator Apple,Annona glabra,"Traditionally used for diarrhea, dysentery, wounds, and skin infections.","Leaves or bark are prepared as a decoction, while crushed leaves may be applied externally.","Avoid consuming the seeds, as they are toxic. Use medicinally only with proper guidance, and avoid excessive intake.","Annona is a genus of flowering plants in the pawpaw/sugar apple family, Annonaceae. It is the second largest genus in the family after Guatteria, containing about 166 species.
- Annona glabra is a tropical fruit tree in the family Annonaceae, in the same genus as the soursop and cherimoya.
- In Australia, considered a troublesome invasive species, classified as a WON (Weed of National Significance). It is was considered the highest ranked species in 2003 in a Wet Tropics bioregion weed risk assessment."
9,,Alligator Weed,Alternanthera philoxeroides,"Traditionally used for fever, sore throat, inflammation, and urinary tract infections.","Leaves are commonly prepared as a decoction or infusion, or crushed for external application.","Use only in moderation and under proper guidance. Avoid use during pregnancy, and ensure the plant is collected from clean, uncontaminated areas.","Alternanthera philoxeroides is characterized by whitish, papery flowers along its short stalks, irregular, or sprawling hollow stems, and simple and opposite leaf pattern sprouting from its nodes. It is also considered a herbaceous plant due to its short-lived shoot system. It produces horizontal stems, otherwise known as stolons, that can sprout up to 10 meters (33 ft) in length and thanks to its hollow stems, floats easily. This results in large clusters of stem amassing and create dense mats along the surface. Flowers are bisexual, small, white, and born on dense, axillary spikes (type of raceme). Presence of a peduncle is a key trait that distinguishes the species from the sessile inflorescences of Alternanthera sessilis. While seed production has been observed in its native range, there is currently no record of viable A. philoxeroides seeds in the introduced range. The weed's intricate root system can either allow them to hang free in the water to absorb nutrients or directly penetrate the soil/sediment and pull their nutrients from below."
10,,Aloe,Aloe vera,"Traditionally used for burns, minor wounds, skin irritation, constipation, and sunburn.","Fresh leaf gel is applied directly to the skin, or the latex is processed for medicinal use.",Avoid applying to deep or infected wounds. Oral use of aloe latex may cause severe diarrhea and is not recommended for pregnant women or children.,"Sabila is an herb plant growing 30 to 40 centimeters high. Leaves arising from the ground are smooth, thick, fleshy, mucilaginous, succulent, 20 to 50 centimeters long, 5 to 8 centimeters wide, light green with white blotches, narrow-lanceolate, tapering, spiny-toothed margins. Flowering stalk is erect, usually twice the height of the plant. Flowers are 2 to 3 centimeters long, yellow, with segments that about equals the oblong tube."
